country,year,pop,continent,lifeExp,gdpPercap
Beauhd,201802,16,Other,0.79,10
Beauhd,201803,30,Other,0.75,7.857142857
Beauhd,201804,49,Other,0.17,8.947368421
Beauhd,201805,57,Other,0.90,10
Beauhd,201806,72,Other,0.87,8
Beauhd,201807,83,Other,0.73,10
Beauhd,201808,84,Other,0.17,10
Ben Lovejoy,201711,2,Other,0.47,10
Ben Lovejoy,201712,4,Other,0.22,10
Ben Lovejoy,201801,6,Other,0.06,10
Ben Lovejoy,201802,9,Other,0.73,10
Ben Lovejoy,201803,21,Other,0.28,10
Ben Lovejoy,201804,34,Other,0.34,10
Ben Lovejoy,201805,43,Other,0.63,10
Ben Lovejoy,201806,46,Other,0.77,10
Ben Lovejoy,201807,49,Other,0.38,10
Ben Lovejoy,201808,51,Other,0.23,10
Cale Guthrie Weissman,201710,1,Fast Company,0.98,10
Cale Guthrie Weissman,201711,6,Fast Company,0.25,10
Cale Guthrie Weissman,201712,11,Fast Company,0.37,8
Cale Guthrie Weissman,201801,15,Fast Company,0.16,10
Cale Guthrie Weissman,201802,20,Fast Company,0.90,10
Cale Guthrie Weissman,201803,40,Fast Company,0.39,10
Cale Guthrie Weissman,201804,45,Fast Company,0.04,10
Cale Guthrie Weissman,201805,51,Fast Company,0.31,10
Cale Guthrie Weissman,201806,59,Fast Company,0.34,10
Cale Guthrie Weissman,201807,61,Fast Company,0.61,10
Cale Guthrie Weissman,201808,62,Fast Company,0.04,10
Candace Mills,201803,37,Stock News Times,0.51,10
Candace Mills,201804,65,Stock News Times,0.65,10
Candace Mills,201805,93,Stock News Times,0.64,10
Candace Mills,201806,131,Stock News Times,0.04,10
Casey Newton,201710,1,Other,0.22,10
Casey Newton,201711,3,Other,0.70,10
Casey Newton,201712,6,Other,0.54,10
Casey Newton,201801,15,Other,0.44,10
Casey Newton,201802,21,Other,0.07,10
Casey Newton,201803,32,Other,0.68,10
Casey Newton,201804,36,Other,0.35,10
Casey Newton,201805,41,Other,0.58,10
Casey Newton,201806,43,Other,0.83,10
Casey Newton,201807,50,Other,0.72,10
Casey Newton,201808,52,Other,0.46,10
Cbs Philly,201710,1,Other,0.05,10
Cbs Philly,201711,3,Other,0.31,10
Cbs Philly,201712,5,Other,0.43,10
Cbs Philly,201801,12,Other,0.11,10
Cbs Philly,201802,14,Other,0.95,5
Cbs Philly,201803,21,Other,0.53,10
Cbs Philly,201804,29,Other,0.43,10
Cbs Philly,201805,32,Other,0.45,10
Cbs Philly,201806,40,Other,0.25,10
Cbs Philly,201807,47,Other,0.80,8.571428571
Cbs Philly,201808,50,Other,0.35,10
Charlie Nash,201711,2,Breitbart,0.61,50
Charlie Nash,201802,8,Breitbart,0.10,50
Charlie Nash,201803,22,Breitbart,0.19,50
Charlie Nash,201804,28,Breitbart,0.43,50
Charlie Nash,201805,33,Breitbart,0.86,50
Charlie Nash,201806,40,Breitbart,0.12,50
Charlie Nash,201807,49,Breitbart,0.13,48.88888889
Charlie Nash,201808,51,Breitbart,0.96,45
Chris Smith,201711,2,Other,0.55,10
Chris Smith,201712,8,Other,0.84,10
Chris Smith,201801,15,Other,0.90,10
Chris Smith,201802,17,Other,0.43,10
Chris Smith,201803,34,Other,0.66,10
Chris Smith,201804,48,Other,0.83,10
Chris Smith,201805,61,Other,0.53,10
Chris Smith,201806,72,Other,0.79,10
Chris Smith,201807,73,Other,0.82,10
Chris Smith,201808,75,Other,0.22,10
Christopher Carbone,201711,2,Other,0.07,10
Christopher Carbone,201712,4,Other,0.10,10
Christopher Carbone,201801,11,Other,0.91,10
Christopher Carbone,201802,14,Other,0.22,10
Christopher Carbone,201803,28,Other,0.72,10
Christopher Carbone,201804,39,Other,0.98,10
Christopher Carbone,201805,44,Other,0.86,10
Christopher Carbone,201806,48,Other,0.28,10
Christopher Carbone,201807,58,Other,0.50,10
Christopher Carbone,201808,62,Other,0.95,10
Cory Doctorow,201711,3,Other,0.91,10
Cory Doctorow,201712,5,Other,0.08,10
Cory Doctorow,201801,9,Other,0.73,10
Cory Doctorow,201802,13,Other,0.92,10
Cory Doctorow,201803,25,Other,0.35,10
Cory Doctorow,201804,40,Other,0.63,10
Cory Doctorow,201805,44,Other,0.33,10
Cory Doctorow,201806,52,Other,0.50,10
Cory Doctorow,201807,58,Other,0.99,10
Cory Doctorow,201808,60,Other,0.59,10
Craig Timberg,201710,5,The Washington Post,0.73,18
Craig Timberg,201711,9,The Washington Post,0.54,10
Craig Timberg,201801,12,The Washington Post,0.39,10
Craig Timberg,201803,24,The Washington Post,0.35,10
Craig Timberg,201804,46,The Washington Post,0.40,11.81818182
Craig Timberg,201806,48,The Washington Post,0.92,10
Craig Timberg,201807,63,The Washington Post,0.82,12.66666667
Craig Timberg,201808,65,The Washington Post,0.77,10
Daniel Terdiman,201710,1,Fast Company,0.21,10
Daniel Terdiman,201711,7,Fast Company,0.53,10
Daniel Terdiman,201712,12,Fast Company,0.43,10
Daniel Terdiman,201801,21,Fast Company,0.01,10
Daniel Terdiman,201802,22,Fast Company,0.63,10
Daniel Terdiman,201803,26,Fast Company,0.09,10
Daniel Terdiman,201804,38,Fast Company,0.08,9.166666667
Daniel Terdiman,201805,49,Fast Company,0.64,10
Daniel Terdiman,201806,51,Fast Company,0.20,10
Daniel Terdiman,201807,57,Fast Company,0.45,10
David Cohen,201801,12,Other,0.79,10
David Cohen,201803,14,Other,0.95,10
David Cohen,201804,31,Other,0.41,10
David Cohen,201805,63,Other,0.55,10
David Cohen,201806,99,Other,0.34,10
David Cohen,201807,122,Other,0.74,10
David Cohen,201808,130,Other,0.93,10
David Ingram,201710,8,Reuters,0.38,40
David Ingram,201711,15,Reuters,0.44,10
David Ingram,201712,18,Reuters,0.39,10
David Ingram,201801,24,Reuters,0.46,10
David Ingram,201802,25,Reuters,0.96,50
David Ingram,201803,55,Reuters,0.87,22
David Ingram,201804,125,Reuters,0.97,31.14285714
David Ingram,201805,152,Reuters,0.49,33.7037037
David Ingram,201806,159,Reuters,0.13,32.85714286
David Ingram,201807,166,Reuters,0.63,10
David Ingram,201808,167,Reuters,0.44,10
David Pierson,201711,4,Other,0.74,10
David Pierson,201712,10,Other,0.55,6.666666667
David Pierson,201801,16,Other,0.02,15
David Pierson,201803,29,Other,0.04,8.461538462
David Pierson,201804,51,Other,0.55,7.272727273
David Pierson,201805,53,Other,0.50,10
David Pierson,201806,57,Other,0.95,5
David Pierson,201807,64,Other,0.78,2.857142857
Donie O'sullivan,201711,1,Other,0.57,10
Donie O'sullivan,201712,2,Other,0.94,10
Donie O'sullivan,201801,4,Other,0.67,10
Donie O'sullivan,201802,6,Other,0.29,10
Donie O'sullivan,201803,17,Other,0.65,10
Donie O'sullivan,201804,29,Other,0.42,10
Donie O'sullivan,201805,35,Other,0.48,10
Donie O'sullivan,201807,47,Other,0.95,10
Donie O'sullivan,201808,50,Other,0.16,10
Dustin Volz,201711,4,Reuters,0.17,40
Dustin Volz,201712,5,Reuters,0.06,10
Dustin Volz,201801,6,Reuters,0.33,10
Dustin Volz,201802,7,Reuters,0.33,10
Dustin Volz,201803,11,Reuters,0.09,10
Dustin Volz,201804,63,Reuters,0.65,36.92307692
Elizabeth Dwoskin,201712,6,The Washington Post,0.36,10
Elizabeth Dwoskin,201801,13,The Washington Post,0.67,10
Elizabeth Dwoskin,201802,14,The Washington Post,0.14,10
Elizabeth Dwoskin,201803,27,The Washington Post,0.55,13.07692308
Elizabeth Dwoskin,201804,43,The Washington Post,0.31,10
Elizabeth Dwoskin,201805,50,The Washington Post,0.83,10
Elizabeth Dwoskin,201806,56,The Washington Post,0.21,15
Elizabeth Dwoskin,201807,65,The Washington Post,0.23,10
Elizabeth Dwoskin,201808,67,The Washington Post,0.19,10
Emanuel Maiberg,201711,1,Other,0.51,10
Emanuel Maiberg,201801,3,Other,0.76,10
Emanuel Maiberg,201802,5,Other,0.17,10
Emanuel Maiberg,201803,19,Other,0.53,10
Emanuel Maiberg,201804,32,Other,0.22,10
Emanuel Maiberg,201805,41,Other,0.43,10
Emanuel Maiberg,201806,45,Other,0.15,10
Emanuel Maiberg,201807,51,Other,0.72,10
Emily Bary,201711,1,Market Watch,0.88,10
Emily Bary,201712,2,Market Watch,0.29,10
Emily Bary,201801,5,Market Watch,0.47,10
Emily Bary,201802,8,Market Watch,0.39,10
Emily Bary,201803,17,Market Watch,0.94,10
Emily Bary,201804,24,Market Watch,0.25,10
Emily Bary,201805,31,Market Watch,0.28,10
Emily Bary,201806,36,Market Watch,0.63,10
Emily Bary,201807,45,Market Watch,0.17,14.44444444
Emily Bary,201808,51,Market Watch,0.13,36.66666667
Eric Lieberman,201710,2,Other,0.80,10
Eric Lieberman,201711,18,Other,0.74,10
Eric Lieberman,201712,26,Other,0.22,10
Eric Lieberman,201801,37,Other,0.41,10
Eric Lieberman,201802,49,Other,0.67,10
Eric Lieberman,201803,61,Other,0.14,10
Eric Lieberman,201804,81,Other,0.93,10
Eric Lieberman,201805,97,Other,0.25,10
Eric Lieberman,201806,112,Other,0.00,10
Eric Lieberman,201807,126,Other,0.05,10
Erica Schwartz,201803,31,Dispatch Tribunal,0.16,10
Erica Schwartz,201804,38,Dispatch Tribunal,0.05,10
Erica Schwartz,201805,48,Dispatch Tribunal,0.37,10
Erica Schwartz,201806,56,Dispatch Tribunal,0.03,10
Erica Schwartz,201807,66,Dispatch Tribunal,0.61,10
Erica Schwartz,201808,68,Dispatch Tribunal,0.63,10
Evan Niu,201711,4,Other,0.76,10
Evan Niu,201712,9,Other,0.55,10
Evan Niu,201801,17,Other,0.22,10
Evan Niu,201802,22,Other,0.03,10
Evan Niu,201803,26,Other,0.27,10
Evan Niu,201804,35,Other,0.51,8.888888889
Evan Niu,201805,41,Other,0.92,10
Evan Niu,201806,56,Other,0.74,10
Evan Niu,201807,63,Other,0.98,10
Evan Niu,201808,64,Other,0.58,10
Garett Sloane,201710,3,Other,0.10,10
Garett Sloane,201711,14,Other,0.50,9.090909091
Garett Sloane,201712,19,Other,0.02,10
Garett Sloane,201801,29,Other,0.58,10
Garett Sloane,201802,32,Other,0.23,10
Garett Sloane,201803,42,Other,0.43,10
Garett Sloane,201804,50,Other,0.77,10
Garett Sloane,201805,56,Other,0.92,10
Garett Sloane,201806,66,Other,0.81,10
Garett Sloane,201807,71,Other,0.83,10
Garett Sloane,201808,74,Other,0.03,10
Gavin O'malley,201711,6,Other,0.39,10
Gavin O'malley,201712,16,Other,0.84,10
Gavin O'malley,201801,28,Other,0.60,10
Gavin O'malley,201802,34,Other,0.15,10
Gavin O'malley,201803,49,Other,0.81,10
Gavin O'malley,201804,65,Other,0.12,10
Gavin O'malley,201805,81,Other,0.94,10
Gavin O'malley,201806,95,Other,0.40,10
Gavin O'malley,201807,103,Other,0.25,10
Gavin O'malley,201808,104,Other,0.18,10
Graham Rapier,201712,4,Business Insider,0.13,10
Graham Rapier,201801,9,Business Insider,0.55,10
Graham Rapier,201803,22,Business Insider,0.83,10
Graham Rapier,201804,41,Business Insider,0.56,10
Graham Rapier,201805,45,Business Insider,0.57,10
Graham Rapier,201806,47,Business Insider,0.13,10
Graham Rapier,201807,54,Business Insider,0.24,10
Graham Rapier,201808,56,Business Insider,0.57,10
Hanna Kozlowska,201710,2,Other,0.25,10
Hanna Kozlowska,201711,13,Other,0.39,9.090909091
Hanna Kozlowska,201712,22,Other,0.97,10
Hanna Kozlowska,201801,40,Other,0.25,9.444444444
Hanna Kozlowska,201802,54,Other,0.57,10
Hanna Kozlowska,201803,68,Other,0.46,9.285714286
Hanna Kozlowska,201804,83,Other,0.27,10
Hanna Kozlowska,201805,96,Other,0.10,10
Hanna Kozlowska,201806,108,Other,0.26,10
Hanna Kozlowska,201807,119,Other,0.09,10
Hanna Kozlowska,201808,121,Other,0.67,10
Harper Neidig,201710,3,The Hill,0.69,6.666666667
Harper Neidig,201711,9,The Hill,0.99,10
Harper Neidig,201712,10,The Hill,0.77,10
Harper Neidig,201801,18,The Hill,0.65,10
Harper Neidig,201802,20,The Hill,0.07,10
Harper Neidig,201803,26,The Hill,0.23,10
Harper Neidig,201804,40,The Hill,0.52,10
Harper Neidig,201805,45,The Hill,0.03,4
Harper Neidig,201806,55,The Hill,0.54,8
Harper Neidig,201807,58,The Hill,0.66,10
Harper Neidig,201808,60,The Hill,0.54,10
Hillary Grigonis,201711,7,Other,0.15,10
Hillary Grigonis,201712,22,Other,0.45,10
Hillary Grigonis,201801,33,Other,0.98,10
Hillary Grigonis,201802,39,Other,0.32,10
Hillary Grigonis,201803,48,Other,0.51,10
Hillary Grigonis,201804,63,Other,0.11,10
Hillary Grigonis,201805,73,Other,0.37,10
Hillary Grigonis,201806,79,Other,0.14,10
Hillary Grigonis,201807,82,Other,0.87,10
Hillary Grigonis,201808,83,Other,0.96,10
Ian Sherr,201710,1,CNET,0.04,10
Ian Sherr,201712,4,CNET,0.46,10
Ian Sherr,201801,8,CNET,0.73,10
Ian Sherr,201803,24,CNET,0.57,10
Ian Sherr,201804,40,CNET,0.53,10
Ian Sherr,201805,61,CNET,0.85,9.523809524
Ian Sherr,201806,66,CNET,0.27,8
Ian Sherr,201807,71,CNET,0.53,10
Ida Torres,201711,11,Other,0.77,10
Ida Torres,201712,16,Other,0.77,10
Ida Torres,201801,20,Other,0.43,10
Ida Torres,201802,22,Other,0.39,10
Ida Torres,201803,30,Other,0.26,10
Ida Torres,201804,37,Other,0.96,10
Ida Torres,201805,42,Other,0.04,10
Ida Torres,201806,45,Other,0.74,10
Ida Torres,201807,48,Other,0.03,10
Ida Torres,201808,50,Other,0.15,10
Jacob Sonenshine,201801,3,Business Insider,0.89,10
Jacob Sonenshine,201802,6,Business Insider,0.16,10
Jacob Sonenshine,201803,34,Business Insider,0.01,10
Jacob Sonenshine,201804,65,Business Insider,0.80,10
Jacob Sonenshine,201805,90,Business Insider,0.35,10
Jacob Sonenshine,201806,101,Business Insider,0.55,10
Jacob Sonenshine,201808,103,Business Insider,0.11,10
Jake Kanter,201711,1,Business Insider,0.33,10
Jake Kanter,201712,2,Business Insider,0.91,10
Jake Kanter,201803,8,Business Insider,0.87,10
Jake Kanter,201804,36,Business Insider,0.37,10
Jake Kanter,201805,62,Business Insider,0.22,10
Jake Kanter,201806,77,Business Insider,0.56,10
Jake Kanter,201807,91,Business Insider,0.12,10
Jake Kanter,201808,93,Business Insider,0.32,10
James Nelson,201803,36,Dispatch Tribunal,0.53,9.722222222
James Nelson,201804,51,Dispatch Tribunal,0.02,10
James Nelson,201805,58,Dispatch Tribunal,0.97,10
James Nelson,201806,64,Dispatch Tribunal,0.43,10
James Nelson,201807,74,Dispatch Tribunal,0.77,10
Janko Rottgers,201710,1,Other,0.29,10
Janko Rottgers,201711,4,Other,0.02,10
Janko Rottgers,201712,10,Other,0.95,10
Janko Rottgers,201801,13,Other,0.32,10
Janko Rottgers,201802,14,Other,0.84,10
Janko Rottgers,201803,21,Other,0.95,8.571428571
Janko Rottgers,201804,41,Other,0.51,10
Janko Rottgers,201805,56,Other,0.20,10
Janko Rottgers,201806,60,Other,0.87,10
Janko Rottgers,201807,62,Other,0.80,10
Janko Rottgers,201808,64,Other,0.15,10
Jason Aycock,201710,1,Other,0.51,10
Jason Aycock,201711,4,Other,0.84,6.666666667
Jason Aycock,201712,6,Other,0.65,10
Jason Aycock,201801,22,Other,0.31,8.75
Jason Aycock,201802,26,Other,0.64,10
Jason Aycock,201803,53,Other,0.64,9.259259259
Jason Aycock,201804,74,Other,0.99,8.571428571
Jason Aycock,201805,83,Other,0.17,7.777777778
Jason Aycock,201806,97,Other,0.66,10
Jason Aycock,201807,111,Other,0.05,5.714285714
Jason Murdock,201710,2,Other,0.14,10
Jason Murdock,201711,7,Other,0.46,10
Jason Murdock,201712,9,Other,0.66,10
Jason Murdock,201801,17,Other,0.75,10
Jason Murdock,201802,19,Other,0.24,10
Jason Murdock,201803,31,Other,0.96,10
Jason Murdock,201804,47,Other,0.24,10
Jason Murdock,201805,52,Other,0.67,10
Jason Murdock,201806,56,Other,0.58,10
Jason Murdock,201807,60,Other,0.10,10
Jason Murdock,201808,63,Other,0.69,10
Jasper Hamill,201711,5,Other,0.99,10
Jasper Hamill,201712,8,Other,0.61,10
Jasper Hamill,201801,15,Other,0.42,10
Jasper Hamill,201802,22,Other,0.79,10
Jasper Hamill,201803,34,Other,0.59,10
Jasper Hamill,201804,48,Other,0.96,10
Jasper Hamill,201805,53,Other,0.37,10
Jasper Hamill,201806,62,Other,0.24,10
Jasper Hamill,201807,65,Other,0.84,10
Jasper Hamill,201808,70,Other,0.01,10
Jennifer Salazar,201803,42,The Ledger Gazette,0.30,10
Jennifer Salazar,201804,66,The Ledger Gazette,0.01,10
Jennifer Salazar,201805,100,The Ledger Gazette,0.71,10
Jennifer Salazar,201806,117,The Ledger Gazette,0.97,10
Jennifer Salazar,201807,124,The Ledger Gazette,0.90,10
Jesse Mackey,201803,42,Stock News Times,0.89,10
Jesse Mackey,201804,74,Stock News Times,0.84,10
Jesse Mackey,201805,91,Stock News Times,0.22,10
Jesse Mackey,201806,115,Stock News Times,0.74,10
Jessica Guynn,201801,6,Other,0.88,43.33333333
Jessica Guynn,201802,20,Other,0.43,32.85714286
Jessica Guynn,201803,48,Other,0.81,42.85714286
Jessica Guynn,201804,75,Other,0.66,35.92592593
Jessica Guynn,201805,87,Other,0.46,43.33333333
Jessica Guynn,201806,94,Other,0.30,38.57142857
Jessica Guynn,201807,110,Other,0.83,30
John Shinal,201711,12,CNBC,0.31,9.166666667
John Shinal,201712,18,CNBC,0.92,10
John Shinal,201801,30,CNBC,0.33,10
John Shinal,201802,46,CNBC,0.20,10
John Shinal,201803,51,CNBC,0.83,10
Jon Swartz,201712,1,Other,0.20,0
Jon Swartz,201801,4,Other,0.84,6.666666667
Jon Swartz,201802,9,Other,0.62,6
Jon Swartz,201803,23,Other,0.47,9.285714286
Jon Swartz,201804,40,Other,0.90,10
Jon Swartz,201805,51,Other,0.68,10
Jon Swartz,201806,59,Other,0.22,6.25
Jon Swartz,201807,64,Other,0.28,10
Josh Constine,201710,1,TechCrunch,0.14,10
Josh Constine,201711,22,TechCrunch,0.10,10
Josh Constine,201712,31,TechCrunch,0.97,7.777777778
Josh Constine,201801,42,TechCrunch,0.25,10
Josh Constine,201802,57,TechCrunch,0.46,10
Josh Constine,201803,76,TechCrunch,0.49,10
Josh Constine,201804,131,TechCrunch,0.88,10
Josh Constine,201805,145,TechCrunch,0.16,10
Josh Constine,201806,167,TechCrunch,0.09,10
Josh Constine,201807,181,TechCrunch,0.62,10
Josh Constine,201808,187,TechCrunch,0.14,10
Joyce Ramirez,201803,41,The Ledger Gazette,0.35,10
Joyce Ramirez,201804,65,The Ledger Gazette,0.12,10
Joyce Ramirez,201805,90,The Ledger Gazette,0.41,10
Joyce Ramirez,201806,104,The Ledger Gazette,0.87,10
Joyce Ramirez,201807,114,The Ledger Gazette,0.42,10
Karissa Bell,201711,3,Mashable,0.27,10
Karissa Bell,201712,8,Mashable,0.57,10
Karissa Bell,201801,13,Mashable,0.39,10
Karissa Bell,201802,15,Mashable,0.70,10
Karissa Bell,201803,27,Mashable,0.56,10
Karissa Bell,201804,35,Mashable,0.91,10
Karissa Bell,201805,51,Mashable,0.63,10
Karissa Bell,201806,61,Mashable,0.22,10
Karissa Bell,201807,68,Mashable,0.76,10
Karissa Bell,201808,72,Mashable,0.82,10
Karrishma.modhy@zeedigital.esselgroup.com,201711,1,Other,0.21,10
Karrishma.modhy@zeedigital.esselgroup.com,201712,4,Other,0.49,6.666666667
Karrishma.modhy@zeedigital.esselgroup.com,201801,7,Other,0.14,6.666666667
Karrishma.modhy@zeedigital.esselgroup.com,201802,10,Other,0.78,10
Karrishma.modhy@zeedigital.esselgroup.com,201803,17,Other,0.96,8.571428571
Karrishma.modhy@zeedigital.esselgroup.com,201804,28,Other,0.90,10
Karrishma.modhy@zeedigital.esselgroup.com,201805,37,Other,0.28,10
Karrishma.modhy@zeedigital.esselgroup.com,201806,59,Other,0.55,10
Karrishma.modhy@zeedigital.esselgroup.com,201807,64,Other,0.22,10
Karrishma.modhy@zeedigital.esselgroup.com,201808,72,Other,0.17,10
Kerry Flynn,201710,4,Mashable,0.42,10
Kerry Flynn,201711,15,Mashable,0.57,10
Kerry Flynn,201712,30,Mashable,0.12,10
Kerry Flynn,201801,41,Mashable,0.41,10
Kerry Flynn,201802,47,Mashable,0.60,10
Kerry Flynn,201803,56,Mashable,0.64,10
Kerry Flynn,201804,59,Mashable,0.27,10
Kerry Flynn,201805,61,Mashable,0.76,10
Kerry Flynn,201806,62,Mashable,0.81,10
Kerry Flynn,201807,65,Mashable,0.16,10
Kurt Wagner,201710,3,Other,0.99,10
Kurt Wagner,201711,10,Other,0.09,10
Kurt Wagner,201712,20,Other,0.95,10
Kurt Wagner,201801,35,Other,0.91,10
Kurt Wagner,201802,46,Other,0.56,10
Kurt Wagner,201803,74,Other,0.23,10
Kurt Wagner,201804,94,Other,0.94,10
Kurt Wagner,201805,113,Other,0.92,10
Kurt Wagner,201806,126,Other,0.04,10
Kurt Wagner,201807,137,Other,0.19,10
