country,year,pop,continent,lifeExp,gdpPercap
Barbara Ortutay,201807,393,Other,-18.25531915,14.04255319
Barbara Ortutay,201808,414,Other,-22.95238095,13.33333333
Beauhd,201711,4,Other,-4,7.5
Beauhd,201712,8,Other,-3.25,10
Beauhd,201801,13,Other,-1.4,8
Beauhd,201802,16,Other,-1,10
Beauhd,201803,30,Other,-2.357142857,7.857142857
Beauhd,201804,49,Other,-2.315789474,8.947368421
Beauhd,201805,57,Other,-6.5,10
Beauhd,201806,72,Other,-2,8
Beauhd,201807,83,Other,-3.363636364,10
Beauhd,201808,84,Other,-1,10
Ben Lovejoy,201711,2,Other,-3,10
Ben Lovejoy,201712,4,Other,-0.5,10
Ben Lovejoy,201801,6,Other,0.5,10
Ben Lovejoy,201802,9,Other,-7,10
Ben Lovejoy,201803,21,Other,-6.75,10
Ben Lovejoy,201804,34,Other,-5.538461538,10
Ben Lovejoy,201805,43,Other,-5.888888889,10
Ben Lovejoy,201806,46,Other,-4,10
Ben Lovejoy,201807,49,Other,-5.666666667,10
Ben Lovejoy,201808,51,Other,3,10
Cale Guthrie Weissman,201710,1,Fast Company,-8,10
Cale Guthrie Weissman,201711,6,Fast Company,-3.8,10
Cale Guthrie Weissman,201712,11,Fast Company,-2.6,8
Cale Guthrie Weissman,201801,15,Fast Company,-2.25,10
Cale Guthrie Weissman,201802,20,Fast Company,-0.6,10
Cale Guthrie Weissman,201803,40,Fast Company,-4.95,10
Cale Guthrie Weissman,201804,45,Fast Company,-2,10
Cale Guthrie Weissman,201805,51,Fast Company,-2.666666667,10
Cale Guthrie Weissman,201806,59,Fast Company,-2,10
Cale Guthrie Weissman,201807,61,Fast Company,-5,10
Cale Guthrie Weissman,201808,62,Fast Company,-11,10
Candace Mills,201803,37,Stock News Times,-0.972972973,10
Candace Mills,201804,65,Stock News Times,0,10
Candace Mills,201805,93,Stock News Times,1.892857143,10
Candace Mills,201806,131,Stock News Times,1.157894737,10
Casey Newton,201710,1,Other,-12,10
Casey Newton,201711,3,Other,-1.5,10
Casey Newton,201712,6,Other,-14,10
Casey Newton,201801,15,Other,-4.444444444,10
Casey Newton,201802,21,Other,-6.333333333,10
Casey Newton,201803,32,Other,-12,10
Casey Newton,201804,36,Other,-8.25,10
Casey Newton,201805,41,Other,-7.4,10
Casey Newton,201806,43,Other,0,10
Casey Newton,201807,50,Other,-20.71428571,10
Casey Newton,201808,52,Other,-2,10
Cbs Philly,201710,1,Other,-13,10
Cbs Philly,201711,3,Other,-2.5,10
Cbs Philly,201712,5,Other,0,10
Cbs Philly,201801,12,Other,-0.142857143,10
Cbs Philly,201802,14,Other,-1,5
Cbs Philly,201803,21,Other,-2.857142857,10
Cbs Philly,201804,29,Other,-5.25,10
Cbs Philly,201805,32,Other,-3,10
Cbs Philly,201806,40,Other,-1.75,10
Cbs Philly,201807,47,Other,-8.857142857,8.571428571
Cbs Philly,201808,50,Other,-1.666666667,10
Charlie Nash,201711,2,Breitbart,-7,50
Charlie Nash,201802,8,Breitbart,-7,50
Charlie Nash,201803,22,Breitbart,-9.214285714,50
Charlie Nash,201804,28,Breitbart,-4.666666667,50
Charlie Nash,201805,33,Breitbart,-9,50
Charlie Nash,201806,40,Breitbart,-6.857142857,50
Charlie Nash,201807,49,Breitbart,-4.666666667,48.88888889
Charlie Nash,201808,51,Breitbart,-4,45
Chris Smith,201711,2,Other,-12.5,10
Chris Smith,201712,8,Other,0.833333333,10
Chris Smith,201801,15,Other,-2.428571429,10
Chris Smith,201802,17,Other,-0.5,10
Chris Smith,201803,34,Other,-4.411764706,10
Chris Smith,201804,48,Other,-2.5,10
Chris Smith,201805,61,Other,-2.153846154,10
Chris Smith,201806,72,Other,-2.454545455,10
Chris Smith,201807,73,Other,-7,10
Chris Smith,201808,75,Other,3.5,10
Christopher Carbone,201711,2,Other,-2,10
Christopher Carbone,201712,4,Other,-7,10
Christopher Carbone,201801,11,Other,-8.571428571,10
Christopher Carbone,201802,14,Other,-10,10
Christopher Carbone,201803,28,Other,-7.214285714,10
Christopher Carbone,201804,39,Other,-18.45454545,10
Christopher Carbone,201805,44,Other,-16,10
Christopher Carbone,201806,48,Other,-9.75,10
Christopher Carbone,201807,58,Other,-16.6,10
Christopher Carbone,201808,62,Other,-4.75,10
Cory Doctorow,201711,3,Other,-4.666666667,10
Cory Doctorow,201712,5,Other,-3.5,10
Cory Doctorow,201801,9,Other,-13.75,10
Cory Doctorow,201802,13,Other,-3.75,10
Cory Doctorow,201803,25,Other,-5.083333333,10
Cory Doctorow,201804,40,Other,-5.733333333,10
Cory Doctorow,201805,44,Other,-11.25,10
Cory Doctorow,201806,52,Other,-9.5,10
Cory Doctorow,201807,58,Other,-10.66666667,10
Cory Doctorow,201808,60,Other,-4.5,10
Craig Timberg,201710,5,The Washington Post,-13.2,18
Craig Timberg,201711,9,The Washington Post,-9.5,10
Craig Timberg,201801,12,The Washington Post,-11.66666667,10
Craig Timberg,201803,24,The Washington Post,-39.5,10
Craig Timberg,201804,46,The Washington Post,-28.31818182,11.81818182
Craig Timberg,201806,48,The Washington Post,-23.5,10
Craig Timberg,201807,63,The Washington Post,-26.46666667,12.66666667
Craig Timberg,201808,65,The Washington Post,-31,10
Daniel Terdiman,201710,1,Fast Company,-7,10
Daniel Terdiman,201711,7,Fast Company,-8.833333333,10
Daniel Terdiman,201712,12,Fast Company,1,10
Daniel Terdiman,201801,21,Fast Company,-1.444444444,10
Daniel Terdiman,201802,22,Fast Company,-5,10
Daniel Terdiman,201803,26,Fast Company,-4.5,10
Daniel Terdiman,201804,38,Fast Company,-3.833333333,9.166666667
Daniel Terdiman,201805,49,Fast Company,-0.363636364,10
Daniel Terdiman,201806,51,Fast Company,-5,10
Daniel Terdiman,201807,57,Fast Company,-2.666666667,10
David Cohen,201801,12,Other,2.166666667,10
David Cohen,201803,14,Other,3.5,10
David Cohen,201804,31,Other,0.529411765,10
David Cohen,201805,63,Other,1.71875,10
David Cohen,201806,99,Other,1.694444444,10
David Cohen,201807,122,Other,-0.043478261,10
David Cohen,201808,130,Other,1,10
David Ingram,201710,8,Reuters,-11.125,40
David Ingram,201711,15,Reuters,-9.857142857,10
David Ingram,201712,18,Reuters,-1.666666667,10
David Ingram,201801,24,Reuters,-17.66666667,10
David Ingram,201802,25,Reuters,-17,50
David Ingram,201803,55,Reuters,-13.36666667,22
David Ingram,201804,125,Reuters,-8.314285714,31.14285714
David Ingram,201805,152,Reuters,-4.037037037,33.7037037
David Ingram,201806,159,Reuters,-6.857142857,32.85714286
David Ingram,201807,166,Reuters,-16.42857143,10
David Ingram,201808,167,Reuters,-17,10
David Pierson,201711,4,Other,-3,10
David Pierson,201712,10,Other,-3.166666667,6.666666667
David Pierson,201801,16,Other,-0.166666667,15
David Pierson,201803,29,Other,-13.15384615,8.461538462
David Pierson,201804,51,Other,-1.227272727,7.272727273
David Pierson,201805,53,Other,0,10
David Pierson,201806,57,Other,-7.75,5
David Pierson,201807,64,Other,-0.714285714,2.857142857
Donie O'sullivan,201711,1,Other,-20,10
Donie O'sullivan,201712,2,Other,-11,10
Donie O'sullivan,201801,4,Other,-6.5,10
Donie O'sullivan,201802,6,Other,-2,10
Donie O'sullivan,201803,17,Other,-8.909090909,10
Donie O'sullivan,201804,29,Other,-9.833333333,10
Donie O'sullivan,201805,35,Other,-4.5,10
Donie O'sullivan,201807,47,Other,-9.333333333,10
Donie O'sullivan,201808,50,Other,-10.33333333,10
Dustin Volz,201711,4,Reuters,-25.25,40
Dustin Volz,201712,5,Reuters,-22,10
Dustin Volz,201801,6,Reuters,-15,10
Dustin Volz,201802,7,Reuters,-3,10
Dustin Volz,201803,11,Reuters,-18.25,10
Dustin Volz,201804,63,Reuters,-13.36538462,36.92307692
Elizabeth Dwoskin,201712,6,The Washington Post,-10,10
Elizabeth Dwoskin,201801,13,The Washington Post,-22.14285714,10
Elizabeth Dwoskin,201802,14,The Washington Post,-24,10
Elizabeth Dwoskin,201803,27,The Washington Post,-12.23076923,13.07692308
Elizabeth Dwoskin,201804,43,The Washington Post,-20.1875,10
Elizabeth Dwoskin,201805,50,The Washington Post,-8.714285714,10
Elizabeth Dwoskin,201806,56,The Washington Post,-29.16666667,15
Elizabeth Dwoskin,201807,65,The Washington Post,-4.333333333,10
Elizabeth Dwoskin,201808,67,The Washington Post,-22,10
Emanuel Maiberg,201711,1,Other,-1,10
Emanuel Maiberg,201801,3,Other,-4.5,10
Emanuel Maiberg,201802,5,Other,-4.5,10
Emanuel Maiberg,201803,19,Other,-5.214285714,10
Emanuel Maiberg,201804,32,Other,-5.846153846,10
Emanuel Maiberg,201805,41,Other,-5.666666667,10
Emanuel Maiberg,201806,45,Other,-3.5,10
Emanuel Maiberg,201807,51,Other,-27.33333333,10
Emily Bary,201711,1,Market Watch,-4,10
Emily Bary,201712,2,Market Watch,1,10
Emily Bary,201801,5,Market Watch,1,10
Emily Bary,201802,8,Market Watch,-2,10
Emily Bary,201803,17,Market Watch,-2.444444444,10
Emily Bary,201804,24,Market Watch,-0.571428571,10
Emily Bary,201805,31,Market Watch,-1.428571429,10
Emily Bary,201806,36,Market Watch,-0.2,10
Emily Bary,201807,45,Market Watch,0,14.44444444
Emily Bary,201808,51,Market Watch,-18,36.66666667
Eric Lieberman,201710,2,Other,-10,10
Eric Lieberman,201711,18,Other,-8.0625,10
Eric Lieberman,201712,26,Other,-7.875,10
Eric Lieberman,201801,37,Other,-6.545454545,10
Eric Lieberman,201802,49,Other,-4,10
Eric Lieberman,201803,61,Other,-7.916666667,10
Eric Lieberman,201804,81,Other,-9.35,10
Eric Lieberman,201805,97,Other,-7.5625,10
Eric Lieberman,201806,112,Other,-11.66666667,10
Eric Lieberman,201807,126,Other,-8.571428571,10
Erica Schwartz,201803,31,Dispatch Tribunal,-1.161290323,10
Erica Schwartz,201804,38,Dispatch Tribunal,0.571428571,10
Erica Schwartz,201805,48,Dispatch Tribunal,2.1,10
Erica Schwartz,201806,56,Dispatch Tribunal,1.375,10
Erica Schwartz,201807,66,Dispatch Tribunal,0.3,10
Erica Schwartz,201808,68,Dispatch Tribunal,2,10
Evan Niu,201711,4,Other,0.25,10
Evan Niu,201712,9,Other,-3.2,10
Evan Niu,201801,17,Other,-2.5,10
Evan Niu,201802,22,Other,3.8,10
Evan Niu,201803,26,Other,-13.5,10
Evan Niu,201804,35,Other,-5.888888889,8.888888889
Evan Niu,201805,41,Other,-1.166666667,10
Evan Niu,201806,56,Other,-1.333333333,10
Evan Niu,201807,63,Other,-0.285714286,10
Evan Niu,201808,64,Other,7,10
Garett Sloane,201710,3,Other,-6.333333333,10
Garett Sloane,201711,14,Other,-5.636363636,9.090909091
Garett Sloane,201712,19,Other,-5.8,10
Garett Sloane,201801,29,Other,-2.7,10
Garett Sloane,201802,32,Other,-1.666666667,10
Garett Sloane,201803,42,Other,-9.6,10
Garett Sloane,201804,50,Other,-4.625,10
Garett Sloane,201805,56,Other,-11.33333333,10
Garett Sloane,201806,66,Other,-3.9,10
Garett Sloane,201807,71,Other,-18,10
Garett Sloane,201808,74,Other,-11.33333333,10
Gavin O'malley,201711,6,Other,-0.5,10
Gavin O'malley,201712,16,Other,-0.1,10
Gavin O'malley,201801,28,Other,-2.583333333,10
Gavin O'malley,201802,34,Other,-4.166666667,10
Gavin O'malley,201803,49,Other,-8.866666667,10
Gavin O'malley,201804,65,Other,-3.9375,10
Gavin O'malley,201805,81,Other,-3.8125,10
Gavin O'malley,201806,95,Other,-2.928571429,10
Gavin O'malley,201807,103,Other,-5.625,10
Gavin O'malley,201808,104,Other,-2,10
Graham Rapier,201712,4,Business Insider,2.25,10
Graham Rapier,201801,9,Business Insider,-0.8,10
Graham Rapier,201803,22,Business Insider,-0.461538462,10
Graham Rapier,201804,41,Business Insider,-4.789473684,10
Graham Rapier,201805,45,Business Insider,-2.25,10
Graham Rapier,201806,47,Business Insider,-1,10
Graham Rapier,201807,54,Business Insider,-0.428571429,10
Graham Rapier,201808,56,Business Insider,-1.5,10
Hanna Kozlowska,201710,2,Other,-10.5,10
Hanna Kozlowska,201711,13,Other,-3.818181818,9.090909091
Hanna Kozlowska,201712,22,Other,-7.888888889,10
Hanna Kozlowska,201801,40,Other,-4,9.444444444
Hanna Kozlowska,201802,54,Other,-5.142857143,10
Hanna Kozlowska,201803,68,Other,-6.5,9.285714286
Hanna Kozlowska,201804,83,Other,-8.133333333,10
Hanna Kozlowska,201805,96,Other,-5.692307692,10
Hanna Kozlowska,201806,108,Other,-7,10
Hanna Kozlowska,201807,119,Other,-12,10
Hanna Kozlowska,201808,121,Other,-14.5,10
Harper Neidig,201710,3,The Hill,-1,6.666666667
Harper Neidig,201711,9,The Hill,-6,10
Harper Neidig,201712,10,The Hill,0,10
Harper Neidig,201801,18,The Hill,-5.375,10
Harper Neidig,201802,20,The Hill,-14,10
Harper Neidig,201803,26,The Hill,-12.66666667,10
Harper Neidig,201804,40,The Hill,-6.857142857,10
Harper Neidig,201805,45,The Hill,-3,4
Harper Neidig,201806,55,The Hill,-9.6,8
Harper Neidig,201807,58,The Hill,-3.333333333,10
Harper Neidig,201808,60,The Hill,-4,10
Hillary Grigonis,201711,7,Other,-1.428571429,10
Hillary Grigonis,201712,22,Other,-5.933333333,10
Hillary Grigonis,201801,33,Other,-0.545454546,10
Hillary Grigonis,201802,39,Other,-2.5,10
Hillary Grigonis,201803,48,Other,-9.222222222,10
Hillary Grigonis,201804,63,Other,-9.266666667,10
Hillary Grigonis,201805,73,Other,-3.7,10
Hillary Grigonis,201806,79,Other,-2.666666667,10
Hillary Grigonis,201807,82,Other,-4,10
Hillary Grigonis,201808,83,Other,2,10
Ian Sherr,201710,1,CNET,-25,10
Ian Sherr,201712,4,CNET,2.666666667,10
Ian Sherr,201801,8,CNET,-7.75,10
Ian Sherr,201803,24,CNET,-15.9375,10
Ian Sherr,201804,40,CNET,-16.1875,10
Ian Sherr,201805,61,CNET,-12.23809524,9.523809524
Ian Sherr,201806,66,CNET,-18.8,8
Ian Sherr,201807,71,CNET,-19.8,10
Ida Torres,201711,11,Other,1.090909091,10
Ida Torres,201712,16,Other,-1.2,10
Ida Torres,201801,20,Other,2.75,10
Ida Torres,201802,22,Other,0,10
Ida Torres,201803,30,Other,0.375,10
Ida Torres,201804,37,Other,-1.571428571,10
Ida Torres,201805,42,Other,-2.4,10
Ida Torres,201806,45,Other,0.666666667,10
Ida Torres,201807,48,Other,2.333333333,10
Ida Torres,201808,50,Other,0,10
Jacob Sonenshine,201801,3,Business Insider,1,10
Jacob Sonenshine,201802,6,Business Insider,-3,10
Jacob Sonenshine,201803,34,Business Insider,-6.178571429,10
Jacob Sonenshine,201804,65,Business Insider,-6.290322581,10
Jacob Sonenshine,201805,90,Business Insider,-3.24,10
Jacob Sonenshine,201806,101,Business Insider,-2.363636364,10
Jacob Sonenshine,201808,103,Business Insider,0,10
Jake Kanter,201711,1,Business Insider,-3,10
Jake Kanter,201712,2,Business Insider,-13,10
Jake Kanter,201803,8,Business Insider,-6.333333333,10
Jake Kanter,201804,36,Business Insider,-10.07142857,10
Jake Kanter,201805,62,Business Insider,-9.384615385,10
Jake Kanter,201806,77,Business Insider,-8.066666667,10
Jake Kanter,201807,91,Business Insider,-11.64285714,10
Jake Kanter,201808,93,Business Insider,1.5,10
James Nelson,201803,36,Dispatch Tribunal,-0.722222222,9.722222222
James Nelson,201804,51,Dispatch Tribunal,-0.333333333,10
James Nelson,201805,58,Dispatch Tribunal,2.142857143,10
James Nelson,201806,64,Dispatch Tribunal,-0.333333333,10
James Nelson,201807,74,Dispatch Tribunal,1,10
Janko Rottgers,201710,1,Other,2,10
Janko Rottgers,201711,4,Other,-0.333333333,10
Janko Rottgers,201712,10,Other,-1.5,10
Janko Rottgers,201801,13,Other,-1,10
Janko Rottgers,201802,14,Other,-6,10
Janko Rottgers,201803,21,Other,-3.571428571,8.571428571
Janko Rottgers,201804,41,Other,-3.4,10
Janko Rottgers,201805,56,Other,-1.266666667,10
Janko Rottgers,201806,60,Other,1.5,10
Janko Rottgers,201807,62,Other,-8.5,10
Janko Rottgers,201808,64,Other,-7,10
Jason Aycock,201710,1,Other,-2,10
Jason Aycock,201711,4,Other,-2.333333333,6.666666667
Jason Aycock,201712,6,Other,-0.5,10
Jason Aycock,201801,22,Other,-1.25,8.75
Jason Aycock,201802,26,Other,-2.25,10
Jason Aycock,201803,53,Other,-1.814814815,9.259259259
Jason Aycock,201804,74,Other,-1.333333333,8.571428571
Jason Aycock,201805,83,Other,-1.222222222,7.777777778
Jason Aycock,201806,97,Other,-1.5,10
Jason Aycock,201807,111,Other,-1.285714286,5.714285714
Jason Murdock,201710,2,Other,-8,10
Jason Murdock,201711,7,Other,-9.8,10
Jason Murdock,201712,9,Other,-2.5,10
Jason Murdock,201801,17,Other,-9.875,10
Jason Murdock,201802,19,Other,-3,10
Jason Murdock,201803,31,Other,-8,10
Jason Murdock,201804,47,Other,-11.375,10
Jason Murdock,201805,52,Other,-10.6,10
Jason Murdock,201806,56,Other,-19.25,10
Jason Murdock,201807,60,Other,-11.75,10
Jason Murdock,201808,63,Other,-17,10
Jasper Hamill,201711,5,Other,-2.2,10
Jasper Hamill,201712,8,Other,-4.333333333,10
Jasper Hamill,201801,15,Other,-4,10
Jasper Hamill,201802,22,Other,-1.714285714,10
Jasper Hamill,201803,34,Other,-3.333333333,10
Jasper Hamill,201804,48,Other,-6.285714286,10
Jasper Hamill,201805,53,Other,-3.8,10
Jasper Hamill,201806,62,Other,-3.555555556,10
Jasper Hamill,201807,65,Other,-7.333333333,10
Jasper Hamill,201808,70,Other,-0.2,10
Jennifer Salazar,201803,42,The Ledger Gazette,-0.714285714,10
Jennifer Salazar,201804,66,The Ledger Gazette,0.958333333,10
Jennifer Salazar,201805,100,The Ledger Gazette,1.794117647,10
Jennifer Salazar,201806,117,The Ledger Gazette,1.823529412,10
Jennifer Salazar,201807,124,The Ledger Gazette,1.285714286,10
Jesse Mackey,201803,42,Stock News Times,-0.761904762,10
Jesse Mackey,201804,74,Stock News Times,-0.84375,10
Jesse Mackey,201805,91,Stock News Times,1.294117647,10
Jesse Mackey,201806,115,Stock News Times,1.291666667,10
Jessica Guynn,201801,6,Other,-12.33333333,43.33333333
Jessica Guynn,201802,20,Other,-10.71428571,32.85714286
Jessica Guynn,201803,48,Other,-15.57142857,42.85714286
Jessica Guynn,201804,75,Other,-12.48148148,35.92592593
Jessica Guynn,201805,87,Other,-16.08333333,43.33333333
Jessica Guynn,201806,94,Other,-13.42857143,38.57142857
Jessica Guynn,201807,110,Other,-17.1875,30
John Shinal,201711,12,CNBC,-2,9.166666667
John Shinal,201712,18,CNBC,-5.833333333,10
John Shinal,201801,30,CNBC,-2.416666667,10
John Shinal,201802,46,CNBC,-0.875,10
John Shinal,201803,51,CNBC,-9,10
Jon Swartz,201712,1,Other,1,0
Jon Swartz,201801,4,Other,-1.666666667,6.666666667
Jon Swartz,201802,9,Other,-1.4,6
Jon Swartz,201803,23,Other,-4.571428571,9.285714286
Jon Swartz,201804,40,Other,-5.235294118,10
Jon Swartz,201805,51,Other,-4.272727273,10
Jon Swartz,201806,59,Other,-1.875,6.25
Jon Swartz,201807,64,Other,-9,10
Josh Constine,201710,1,TechCrunch,-6,10
Josh Constine,201711,22,TechCrunch,0.095238095,10
Josh Constine,201712,31,TechCrunch,-0.111111111,7.777777778
Josh Constine,201801,42,TechCrunch,1.272727273,10
Josh Constine,201802,57,TechCrunch,-2.933333333,10
Josh Constine,201803,76,TechCrunch,-8.842105263,10
Josh Constine,201804,131,TechCrunch,-6.690909091,10
Josh Constine,201805,145,TechCrunch,-2.642857143,10
Josh Constine,201806,167,TechCrunch,-2.045454545,10
Josh Constine,201807,181,TechCrunch,-17.57142857,10
Josh Constine,201808,187,TechCrunch,-3.666666667,10
Joyce Ramirez,201803,41,The Ledger Gazette,-1.146341463,10
Joyce Ramirez,201804,65,The Ledger Gazette,-0.541666667,10
Joyce Ramirez,201805,90,The Ledger Gazette,2.04,10
Joyce Ramirez,201806,104,The Ledger Gazette,1.928571429,10
Joyce Ramirez,201807,114,The Ledger Gazette,1.9,10
Karissa Bell,201711,3,Mashable,-0.333333333,10
Karissa Bell,201712,8,Mashable,-2.6,10
Karissa Bell,201801,13,Mashable,-2.6,10
Karissa Bell,201802,15,Mashable,-3,10
Karissa Bell,201803,27,Mashable,-5.75,10
Karissa Bell,201804,35,Mashable,-3,10
Karissa Bell,201805,51,Mashable,-1.4375,10
Karissa Bell,201806,61,Mashable,-5.4,10
Karissa Bell,201807,68,Mashable,-6.428571429,10
Karissa Bell,201808,72,Mashable,-2.5,10
Karrishma.modhy@zeedigital.esselgroup.com,201711,1,Other,4,10
Karrishma.modhy@zeedigital.esselgroup.com,201712,4,Other,3.333333333,6.666666667
Karrishma.modhy@zeedigital.esselgroup.com,201801,7,Other,-8.333333333,6.666666667
Karrishma.modhy@zeedigital.esselgroup.com,201802,10,Other,-3.666666667,10
Karrishma.modhy@zeedigital.esselgroup.com,201803,17,Other,-7.285714286,8.571428571
Karrishma.modhy@zeedigital.esselgroup.com,201804,28,Other,-8.363636364,10
